"","datum","typ_datumu","skutecne_hodnoty","fitted_hodnoty","predikovane_hodnoty","predikce_lower","predikce_upper"
"212",2024-01-09 20:00:00,"historie",27.99,25.7968328846945,NA,NA,NA
"213",2024-01-09 21:00:00,"historie",23.79,27.5932786127369,NA,NA,NA
"214",2024-01-09 22:00:00,"historie",26.1,31.60600550195,NA,NA,NA
"215",2024-01-09 23:00:00,"historie",26.85,65.7304513448086,NA,NA,NA
"216",2024-01-10,"historie",25.34,18.012980161447,NA,NA,NA
"217",2024-01-10 01:00:00,"historie",28.16,12.6369606744516,NA,NA,NA
"218",2024-01-10 02:00:00,"historie",30.36,13.7459036803628,NA,NA,NA
"219",2024-01-10 03:00:00,"historie",31.92,19.8722373315228,NA,NA,NA
"220",2024-01-10 04:00:00,"historie",26.32,24.4414007033415,NA,NA,NA
"221",2024-01-10 05:00:00,"historie",40.87,32.8440966445424,NA,NA,NA
"222",2024-01-10 06:00:00,"historie",125,43.6500270158561,NA,NA,NA
"223",2024-01-10 07:00:00,"historie",68.45,34.0691365414522,NA,NA,NA
"224",2024-01-10 08:00:00,"historie",35.05,27.1152004048849,NA,NA,NA
"225",2024-01-10 09:00:00,"historie",26.94,28.3070459038145,NA,NA,NA
"226",2024-01-10 10:00:00,"historie",32.85,22.1522905690409,NA,NA,NA
"227",2024-01-10 11:00:00,"historie",24.89,20.045234695555,NA,NA,NA
"228",2024-01-10 12:00:00,"historie",21.97,21.5843546804438,NA,NA,NA
"229",2024-01-10 13:00:00,"historie",26.12,22.818846266597,NA,NA,NA
"230",2024-01-10 14:00:00,"historie",23.9,20.1575134749611,NA,NA,NA
"231",2024-01-10 15:00:00,"historie",14.1,24.8168834105308,NA,NA,NA
"232",2024-01-10 16:00:00,"historie",48.31,23.5712235281134,NA,NA,NA
"233",2024-01-10 17:00:00,"historie",26.4,26.9030930778262,NA,NA,NA
"234",2024-01-10 18:00:00,"historie",36.46,23.5775294090806,NA,NA,NA
"235",2024-01-10 19:00:00,"historie",35.02,36.1284529958682,NA,NA,NA
"236",2024-01-10 20:00:00,"historie",31.05,97.3690346015647,NA,NA,NA
"237",2024-01-10 21:00:00,"historie",24.23,42.7080888026362,NA,NA,NA
"238",2024-01-10 22:00:00,"historie",23.46,29.2907614308202,NA,NA,NA
"239",2024-01-10 23:00:00,"historie",19.88,19.6476547209193,NA,NA,NA
"240",2024-01-11,"historie",19.46,24.7801897823512,NA,NA,NA
"241",2024-01-11 01:00:00,"historie",21.59,20.3435824103769,NA,NA,NA
"242",2024-01-11 02:00:00,"historie",20.18,19.8474890940805,NA,NA,NA
"243",2024-01-11 03:00:00,"historie",15.25,23.8895040340991,NA,NA,NA
"244",2024-01-11 04:00:00,"historie",17.61,24.6285891543704,NA,NA,NA
"245",2024-01-11 05:00:00,"historie",31.17,14.3384644678992,NA,NA,NA
"246",2024-01-11 06:00:00,"historie",29.32,44.9151688594716,NA,NA,NA
"247",2024-01-11 07:00:00,"historie",28.29,20.066701460126,NA,NA,NA
"248",2024-01-11 08:00:00,"historie",24.59,32.011326356236,NA,NA,NA
"249",2024-01-11 09:00:00,"historie",27.8,28.0806427263887,NA,NA,NA
"250",2024-01-11 10:00:00,"historie",26.69,24.7065720373149,NA,NA,NA
"251",2024-01-11 11:00:00,"historie",31.15,20.6707181480802,NA,NA,NA
"252",2024-01-11 12:00:00,"historie",33.05,20.1799009194261,NA,NA,NA
