"cas","ln_no2","fitted_no2","sezona","data_no2"
2024-01-09,2.78993736057439,3.05459869887629,1,16.28
2024-01-09 01:00:00,2.80032547721138,2.91798220948407,1,16.45
2024-01-09 02:00:00,2.90306858869057,3.05853594724225,1,18.23
2024-01-09 03:00:00,2.91017438519234,3.05605590305931,1,18.36
2024-01-09 04:00:00,3.12236492448736,3.24799373154798,1,22.7
2024-01-09 05:00:00,3.31454957493648,3.28652904092599,1,27.51
2024-01-09 06:00:00,3.38540669575583,3.50153546070496,1,29.53
2024-01-09 07:00:00,3.51809113313365,3.60603554389429,1,33.72
2024-01-09 08:00:00,3.72472910700763,3.56704934693021,1,41.46
2024-01-09 09:00:00,4.50191855617762,3.03768953388829,1,90.19
2024-01-09 10:00:00,3.41081762503915,2.63061180308014,1,30.29
2024-01-09 11:00:00,2.65885995691144,2.36441112734087,1,14.28
2024-01-09 12:00:00,2.67552700939665,2.34262474400837,1,14.52
2024-01-09 13:00:00,3.04261585945284,2.50690707689979,1,20.96
2024-01-09 14:00:00,3.19908119754002,2.72183272326637,1,24.51
2024-01-09 15:00:00,3.63283806323031,3.04486080614807,1,37.82
2024-01-09 16:00:00,4.08125932267345,3.43903748783692,1,59.22
2024-01-09 17:00:00,3.83816115682969,3.4377186441574,1,46.44
2024-01-09 18:00:00,3.59209318542624,3.53777821825238,1,36.31
2024-01-09 19:00:00,3.53017676291862,3.5759817036332,1,34.13
2024-01-09 20:00:00,3.33184730352736,3.40115842810033,1,27.99
2024-01-09 21:00:00,3.16926532431487,3.40884213907393,1,23.79
2024-01-09 22:00:00,3.26193531432865,3.47732106828045,1,26.1
2024-01-09 23:00:00,3.29026582095487,3.30310782825733,1,26.85
2024-01-10,3.23238417489299,3.35156432751767,1,25.34
2024-01-10 01:00:00,3.33790253128984,3.31334848086662,1,28.16
2024-01-10 02:00:00,3.41312595252743,3.23124942583555,1,30.36
2024-01-10 03:00:00,3.46323277258161,3.27914029548809,1,31.92
2024-01-10 04:00:00,3.27032910645712,3.28506118827637,1,26.32
2024-01-10 05:00:00,3.71039629757619,3.50218888714044,1,40.87
2024-01-10 06:00:00,4.8283137373023,3.4836983779108,1,125
2024-01-10 07:00:00,4.22610355173446,3.57500800549681,1,68.45
2024-01-10 08:00:00,3.5567756134806,3.54645121938304,1,35.05
2024-01-10 09:00:00,3.29361217098222,3.17145521057977,1,26.94
2024-01-10 10:00:00,3.49195174493062,2.78888695479833,1,32.85
2024-01-10 11:00:00,3.2144661163795,2.52288089034428,1,24.89
2024-01-10 12:00:00,3.08967788639652,2.41678460286311,1,21.97
2024-01-10 13:00:00,3.26270130440823,2.40467151727515,1,26.12
2024-01-10 14:00:00,3.17387845893747,2.60056688699628,1,23.9
2024-01-10 15:00:00,2.64617479738412,2.93635893866762,1,14.1
2024-01-10 16:00:00,3.87763857856632,3.36366892023646,1,48.31
2024-01-10 17:00:00,3.27336401015227,3.480644169576,1,26.4
2024-01-10 18:00:00,3.59621576925052,3.50047745488646,1,36.46
2024-01-10 19:00:00,3.55591932685771,3.41194855827403,1,35.02
2024-01-10 20:00:00,3.43559880837949,3.45892910924675,1,31.05
2024-01-10 21:00:00,3.18759153482843,3.45861466358687,1,24.23
2024-01-10 22:00:00,3.15529684322533,3.4618428052959,1,23.46
2024-01-10 23:00:00,2.98971420122843,3.39308949726589,1,19.88
2024-01-11,2.96836107675786,3.3567362343204,1,19.46
2024-01-11 01:00:00,3.07223024452672,3.30332672731886,1,21.59
2024-01-11 02:00:00,3.00469201492546,3.32091360910887,1,20.18
2024-01-11 03:00:00,2.72457950305342,3.2649152269502,1,15.25
2024-01-11 04:00:00,2.86846692250811,3.37365825479656,1,17.61
2024-01-11 05:00:00,3.43945609377925,3.45842349854131,1,31.17
2024-01-11 06:00:00,3.37826987701845,3.56822995142548,1,29.32
2024-01-11 07:00:00,3.34250838531348,3.57120234010434,1,28.29
2024-01-11 08:00:00,3.2023398562281,3.49108040139424,1,24.59
2024-01-11 09:00:00,3.32503602069659,3.23002122820762,1,27.8
2024-01-11 10:00:00,3.28428896341643,2.99404475506336,1,26.69
2024-01-11 11:00:00,3.43881424523346,2.66928196335727,1,31.15
2024-01-11 12:00:00,3.4980215662977,2.66162820102969,1,33.05
2024-01-11 13:00:00,3.70794651683116,2.58963552697488,1,40.77
2024-01-11 14:00:00,3.75817228060989,2.75374132598783,1,42.87
2024-01-11 15:00:00,3.88300605635765,3.05015275103754,1,48.57
2024-01-11 16:00:00,4.01998014693324,3.332537077552,1,55.7
2024-01-11 17:00:00,3.69833461288469,3.28880328437368,1,40.38
2024-01-11 18:00:00,3.66253547877433,3.45081660659351,1,38.96
2024-01-11 19:00:00,3.17178421733435,3.36122806288749,1,23.85
2024-01-11 20:00:00,3.04022751344054,3.31414186940413,1,20.91
2024-01-11 21:00:00,3.00370044320317,2.98663883711654,1,20.16
2024-01-11 22:00:00,3.0777729838902,3.28409819380064,1,21.71
2024-01-11 23:00:00,3.1027913458474,3.02822680857875,1,22.26
2024-01-12,2.96887481938411,3.07795586229246,1,19.47
2024-01-12 01:00:00,2.65955999194178,3.06135338039571,1,14.29
2024-01-12 02:00:00,2.82672173081971,3.0748344725254,1,16.89
2024-01-12 03:00:00,2.68170622576261,2.99512605151912,1,14.61
2024-01-12 04:00:00,2.85876641848083,3.05907365801449,1,17.44
2024-01-12 05:00:00,2.98770010185673,3.11007310596692,1,19.84
2024-01-12 06:00:00,2.6658383522929,3.12592071226014,1,14.38
2024-01-12 07:00:00,2.76127496233951,3.00125048518003,1,15.82
2024-01-12 08:00:00,2.44060639089142,2.94343915626949,1,11.48
2024-01-12 09:00:00,2.9871959425317,2.92828708285178,1,19.83
2024-01-12 10:00:00,2.84490938381941,2.72021877957015,1,17.2
2024-01-12 11:00:00,2.6616571615325,2.55309657994155,1,14.32
2024-01-12 12:00:00,2.50143595173921,2.45074087560193,1,12.2
2024-01-12 13:00:00,2.54160199346455,2.62352647766992,1,12.7
2024-01-12 14:00:00,2.68033636253469,2.79150380710445,1,14.59
2024-01-12 15:00:00,2.89480635496403,3.01390031841099,1,18.08
2024-01-12 16:00:00,2.80638610182307,3.09281535229045,1,16.55
2024-01-12 17:00:00,2.82908719614504,3.22675357978006,1,16.93
2024-01-12 18:00:00,2.76127496233951,3.22088391508871,1,15.82
2024-01-12 19:00:00,2.67896462020711,3.12862987025735,1,14.57
2024-01-12 20:00:00,2.6447553507299,3.20969615829039,1,14.08
2024-01-12 21:00:00,2.40874528882244,3.0727321394647,1,11.12
2024-01-12 22:00:00,2.30956070673047,2.95829652664211,1,10.07
2024-01-12 23:00:00,2.33698651971138,2.74920958628451,1,10.35
2024-01-13,2.23108909128898,2.6188287663696,1,9.31
2024-01-13 01:00:00,2.07065303564676,2.52290677820023,1,7.93
2024-01-13 02:00:00,1.99470031322475,2.27819331590403,1,7.35
2024-01-13 03:00:00,2.13534917361813,2.23616611502381,1,8.46
2024-01-13 04:00:00,2.19277022698684,2.31788682558892,1,8.96
2024-01-13 05:00:00,2.23108909128898,2.38903479070493,1,9.31
2024-01-13 06:00:00,2.31845844215034,2.46413748014966,1,10.16
2024-01-13 07:00:00,2.36085400111802,2.61312060010773,1,10.6
2024-01-13 08:00:00,2.31451366385932,2.53853769392336,1,10.12
2024-01-13 09:00:00,2.37769256548085,2.5658840537959,1,10.78
2024-01-13 10:00:00,2.37024374146786,2.43461171519729,1,10.7
2024-01-13 11:00:00,2.20276475771183,2.24048578424897,1,9.05
2024-01-13 12:00:00,2.24177295359729,2.31748504943929,1,9.41
2024-01-13 13:00:00,2.20497226412705,2.45066528435129,1,9.07
2024-01-13 14:00:00,2.41769790009455,2.40327788504378,1,11.22
2024-01-13 15:00:00,2.95230271562665,2.77490327641894,1,19.15
2024-01-13 16:00:00,2.57184857992181,2.90910954238314,1,13.09
2024-01-13 17:00:00,2.60859812213055,2.80569098603141,1,13.58
2024-01-13 18:00:00,2.53686638871871,2.83174474678765,1,12.64
2024-01-13 19:00:00,2.55022611590864,2.82344405920849,1,12.81
2024-01-13 20:00:00,2.56417983068251,2.76528253972388,1,12.99
2024-01-13 21:00:00,2.62972823432674,2.64223760295319,1,13.87
2024-01-13 22:00:00,2.62684014567667,2.68350354036552,1,13.83
2024-01-13 23:00:00,2.60343015197211,2.64052058307503,1,13.51
2024-01-14,2.39333945626251,2.54492338443126,1,10.95
2024-01-14 01:00:00,2.37117788445966,2.4744421286373,1,10.71
2024-01-14 02:00:00,2.34084380511114,2.54979000540312,1,10.39
2024-01-14 03:00:00,2.49155119250667,2.39310595386979,1,12.08
2024-01-14 04:00:00,2.26799364822443,2.36536311040401,1,9.66
2024-01-14 05:00:00,2.41412646772695,2.48584837690896,1,11.18
2024-01-14 06:00:00,2.54002594900908,2.64094579513973,1,12.68
2024-01-14 07:00:00,2.47148362945586,2.71586622538023,1,11.84
2024-01-14 08:00:00,2.37769256548085,2.583974156357,1,10.78
2024-01-14 09:00:00,2.41143949790613,2.56394124951715,1,11.15
2024-01-14 10:00:00,2.27931646605469,2.37561585896711,1,9.77
2024-01-14 11:00:00,2.2353763433006,2.2908983990622,1,9.35
2024-01-14 12:00:00,2.2628042229822,2.20446796968329,1,9.61
2024-01-14 13:00:00,2.32042501112238,2.31782757993103,1,10.18
2024-01-14 14:00:00,2.54160199346455,2.55478014412626,1,12.7
2024-01-14 15:00:00,2.45958884180371,2.74414637590567,1,11.7
2024-01-14 16:00:00,2.39971180372477,2.83307414483694,1,11.02
2024-01-14 17:00:00,2.48573963609189,2.96035159610687,1,12.01
2024-01-14 18:00:00,2.61373952163097,2.90758379611561,1,13.65
2024-01-14 19:00:00,2.45873377548398,3.00464943272924,1,11.69
2024-01-14 20:00:00,2.34564458245449,2.85847704980717,1,10.44
2024-01-14 21:00:00,2.38139627341834,2.80278594700137,1,10.82
2024-01-14 22:00:00,2.58173083442354,2.6998360175024,1,13.22
2024-01-14 23:00:00,2.4932054526027,2.58139052913647,1,12.1
2024-01-15,2.49568172295596,2.32594602057327,1,12.13
2024-01-15 01:00:00,2.38600670113312,2.21379225190936,1,10.87
2024-01-15 02:00:00,2.43009841329301,2.34014442198972,1,11.36
2024-01-15 03:00:00,2.58776403522771,2.25005460806605,1,13.3
2024-01-15 04:00:00,2.55412171880947,2.25395672502656,1,12.86
2024-01-15 05:00:00,2.6686161318568,2.4045520235856,1,14.42
2024-01-15 06:00:00,2.63547950826737,2.54751398163731,1,13.95
2024-01-15 07:00:00,2.6775909936175,2.55533505251558,1,14.55
2024-01-15 08:00:00,2.41412646772695,2.6488277391026,1,11.18
2024-01-15 09:00:00,2.32532457996354,2.46559446773729,1,10.23
2024-01-15 10:00:00,2.24707238306379,2.21552482126721,1,9.46
2024-01-15 11:00:00,2.20386912005489,2.28410136763172,1,9.06
2024-01-15 12:00:00,2.14476100780048,2.21072293970694,1,8.54
2024-01-15 13:00:00,1.79175946922805,2.13206315396359,1,6
2024-01-15 14:00:00,2.33214389523559,2.48316725481624,1,10.3
2024-01-15 15:00:00,2.25967759198277,2.43947928265201,1,9.58
2024-01-15 16:00:00,2.3767644911683,2.76577682342094,1,10.77
2024-01-15 17:00:00,2.68512269645851,2.94125407651334,1,14.66
2024-01-15 18:00:00,2.97143958098495,3.03461203401768,1,19.52
2024-01-15 19:00:00,3.0022112396517,3.16128663253935,1,20.13
2024-01-15 20:00:00,2.80759383143847,2.78139389300619,1,16.57
2024-01-15 21:00:00,2.58248697812686,2.75717510429993,1,13.23
2024-01-15 22:00:00,2.71469474382088,2.64790348381371,1,15.1
2024-01-15 23:00:00,2.7173402480093,2.78666397639762,1,15.14
2024-01-16,2.53131302260216,2.51857639941758,1,12.57
2024-01-16 01:00:00,1.88706964903238,2.61938553544264,1,6.6
2024-01-16 02:00:00,2.48073127837752,NA,1,11.95
2024-01-16 03:00:00,2.25339484880327,2.41669966399058,1,9.52
2024-01-16 04:00:00,2.65324196460721,2.46409024987208,1,14.2
2024-01-16 05:00:00,2.86162928903051,2.82528254510278,1,17.49
2024-01-16 06:00:00,2.62249231274056,2.86340370411705,1,13.77
2024-01-16 07:00:00,2.94285878394692,2.90157892673295,1,18.97
2024-01-16 08:00:00,2.72981169288372,2.72388291808615,1,15.33
2024-01-16 09:00:00,2.28543893415908,2.45893043105716,1,9.83
2024-01-16 10:00:00,2.21266038546606,2.33223612095951,1,9.14
2024-01-16 11:00:00,2.58550584834412,2.51050158025076,1,13.27
2024-01-16 12:00:00,2.74019465442878,2.46253757017497,1,15.49
2024-01-16 13:00:00,1.83418018511201,2.32514889249019,1,6.26
2024-01-16 14:00:00,1.9387416595767,2.48609835775555,1,6.95
2024-01-16 15:00:00,2.38967979984498,2.86447354571639,1,10.91
2024-01-16 16:00:00,2.70136121295141,3.08902428280714,1,14.9
2024-01-16 17:00:00,2.93438864331294,3.16116296446138,1,18.81
2024-01-16 18:00:00,2.90635446240277,3.2046953188496,1,18.29
2024-01-16 19:00:00,2.6440448711263,3.22144862841063,1,14.07
2024-01-16 20:00:00,2.60120710548416,3.14922442677253,1,13.48
2024-01-16 21:00:00,2.66514270009093,3.25958032254386,1,14.37
2024-01-16 22:00:00,2.83321334405622,3.23253194465488,1,17
2024-01-16 23:00:00,2.8541687092322,3.26370377109139,1,17.36
2024-01-17,2.94285878394692,3.2685909744535,1,18.97
2024-01-17 01:00:00,2.71667952780026,3.2261839789887,1,15.13
2024-01-17 02:00:00,3.01357219168232,3.22768673775668,1,20.36
2024-01-17 03:00:00,3.00766084441926,3.23680288082408,1,20.24
2024-01-17 04:00:00,4.18661983833127,3.34074350793846,1,65.8
2024-01-17 05:00:00,3.52577211624379,3.44121758484843,1,33.98
2024-01-17 06:00:00,3.36522472120334,3.36768056837423,1,28.94
2024-01-17 07:00:00,3.69511000386457,3.48196924930825,1,40.25
2024-01-17 08:00:00,3.83146349756973,3.56979384798489,1,46.13
2024-01-17 09:00:00,3.8093256071898,3.4389823505181,1,45.12
2024-01-17 10:00:00,3.29953372788566,3.19651376989256,1,27.1
2024-01-17 11:00:00,3.56161410306806,3.108024375609,1,35.22
2024-01-17 12:00:00,3.83124669540086,2.9616790472757,1,46.12
2024-01-17 13:00:00,3.90479696033641,3.05138080291588,1,49.64
2024-01-17 14:00:00,3.92197333628131,3.33558699273253,1,50.5
2024-01-17 15:00:00,4.13404592907365,3.51081347491629,1,62.43
2024-01-17 16:00:00,4.17223110087917,3.67313627716197,1,64.86
2024-01-17 17:00:00,4.23685634351072,3.76949164253849,1,69.19
2024-01-17 18:00:00,4.17715267340942,3.7930144852015,1,65.18
2024-01-17 19:00:00,4.11496384942484,3.65588806214247,1,61.25
2024-01-17 20:00:00,4.08362059885912,3.57973168993933,1,59.36
2024-01-17 21:00:00,4.09617621705107,3.49199787686151,1,60.11
2024-01-17 22:00:00,4.04462896997617,3.3814558308249,1,57.09
2024-01-17 23:00:00,3.902982260776,3.26509196522147,1,49.55
2024-01-18,3.88670519744386,3.20700052276365,1,48.75
2024-01-18 01:00:00,3.71916614671881,3.12639372495483,1,41.23
2024-01-18 02:00:00,3.75443308485338,3.01270569840239,1,42.71
